ip,hostname,mac,source
10.1.2.1,,0:e0:67:1f:94:85,arp
10.1.2.4,,c8:2a:14:57:f4:f9,arp
10.1.2.5,,50:ed:3c:f0:6e:79,arp
10.1.2.29,,0:11:32:92:a2:95,arp
10.1.2.38,,28:40:dd:54:8c:c7,arp
10.1.2.40,,bc:cd:99:88:c1:1,arp
10.1.2.45,,cc:c9:5d:c:91:b4,arp
10.1.2.50,,da:13:b9:88:1a:40,arp
10.1.2.52,,ee:92:2:76:67:9d,arp
10.1.2.53,,74:40:be:ea:5c:2c,arp
10.1.2.58,,7a:e2:c6:8c:85:bb,arp
10.1.2.64,,f0:f6:c1:59:53:2e,arp
10.1.2.65,,48:a6:b8:2c:92:8c,arp
10.1.2.72,,44:cb:8b:41:ed:30,arp
10.1.2.94,,fc:a1:83:d0:84:ee,arp
10.1.2.96,,66:5c:6e:d7:c:51,arp
10.1.2.111,,6a:d6:e5:87:3e:35,arp
10.1.2.161,,2a:84:42:76:59:65,arp
10.1.2.221,,cc:27:46:65:60:57,arp
10.1.2.255,,ff:ff:ff:ff:ff:ff,arp
